generation;exp_num;collapsed;val_acc;train_acc;lr;num_conv_layers;num_channels;kernels;padding;conv_type;pooling_a_conv;pooling_final;fc_layer;arch_order;in_features
17;3;False;0.096296;0.131556;0.000050;6;[10, 26, 26, 32, 32, 32];[3, 5, 5, 3, 5, 5];[1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
18;1;False;0.101852;0.160593;0.000050;5;[10, 26, 32, 32, 32];[3, 5, 5, 3, 5];[1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
18;2;False;0.106667;0.120148;0.000050;6;[10, 26, 26, 32, 32, 32];[3, 5, 5, 3, 5, 7];[1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
18;3;False;0.110741;0.132889;0.000050;6;[10, 20, 32, 32, 32, 32];[3, 5, 5, 3, 5, 5];[1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
19;1;False;0.100494;0.150889;0.000050;7;[10, 20, 26, 32, 32, 32, 32];[3, 5, 5, 3, 5, 5, 5];[1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
19;2;False;0.119630;0.178444;0.000050;7;[10, 14, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
19;3;False;0.111975;0.126963;0.000050;5;[10, 20, 32, 32, 38];[3, 5, 5, 3, 5];[1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
20;1;False;0.112840;0.143037;0.000050;7;[10, 20, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
20;2;False;0.120123;0.177852;0.000050;7;[10, 14, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
20;3;False;0.106543;0.162074;0.000050;7;[10, 14, 32, 32, 32, 32, 38];[3, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
21;1;False;0.109259;0.212519;0.000050;6;[10, 14, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
